,Ticker,Stock Price,Market Cap,# of Shares to Buy
0,A,179.1,55110561772,55
1,AAL,19.85,13048062822,503
2,AAP,206.35,13142251616,48
3,AAPL,149.57,2551524310331,66
4,ABBV,108.11,195563088864,92
5,ABC,126.5,26467773069,79
6,ABMD,360.55,16688857846,27
7,ABT,132.15,230413228917,75
8,ACN,359.98,232629018677,27
9,ADBE,678.4,329975297328,14
10,ADI,175.76,66241068962,56
11,ADM,64.87,35615925705,154
12,ADP,208.4,86389360508,47
13,ADSK,295.57,65384078590,33
14,AEE,89.3,22357816209,111
15,AEP,91.65,44635819828,109
16,AES,24.48,16692825894,408
17,AFL,56.67,38466233489,176
18,AIG,54.83,46690694988,182
19,AIV,6.91,1037680106,1447
20,AIZ,168.94,9733059986,59
21,AJG,152.96,31069066525,65
22,AKAM,113.44,18279497260,88
23,ALB,245.03,28666186034,40
24,ALGN,738.44,57910013124,13
25,ALK,59.05,7176282716,169
26,ALL,135.02,40486085576,74
27,ALLE,142.83,13088249206,70
28,ALXN,191.0,40740055432,52
29,AMAT,142.66,130144792809,70
30,AMCR,12.5,19675905504,800
31,AMD,107.2,130402028753,93
32,AME,134.06,31463565937,74
33,AMGN,224.11,127755160219,44
34,AMP,283.48,31376334356,35
35,AMT,305.82,138231273749,32
36,AMZN,3519.52,1773088112793,2
37,ANET,373.66,27867917256,26
38,ANSS,384.07,33721154849,26
39,ANTM,389.48,94949470396,25
40,AON,294.34,67777854541,33
41,AOS,68.64,11076310793,145
42,APA,20.659,7991386655,484
43,APD,270.7,60460905156,36
44,APH,78.84,47941434841,126
45,APTV,158.96,42164618214,62
46,ARE,206.93,31472434464,48
47,ATO,90.76,11932029257,110
48,ATVI,81.24,61084361372,123
49,AVB,225.69,31755917946,44
50,AVGO,515.05,213071949164,19
51,AVY,225.16,18684388095,44
52,AWK,186.51,34921020795,53
53,AXP,163.39,128647365235,61
54,AZO,1623.01,35767722259,6
55,BA,214.49,127845910984,46
56,BAC,40.81,342265882230,245
57,BAX,86.51,41972678429,115
58,BBY,109.95,27098162098,90
59,BDX,268.55,77516608961,37
60,BEN,32.62,16799904887,306
61,BF.B,73.18,34003613341,136
62,BIIB,313.23,46843245488,31
63,BIO,827.16,24546516508,12
64,BK,53.68,45675736364,186
65,BKNG,2451.36,99544329377,4
66,BKR,25.87,26859774780,386
67,BLK,947.59,144999435784,10
68,BLL,97.22,31308508624,102
69,BMY,63.0,138209272368,158
70,BR,170.88,19860439616,58
71,BRK.B,288.76,658958113041,34
72,BSX,46.28,66025178533,216
73,BWA,44.35,10503306046,225
74,BXP,115.59,17468062812,86
75,C,71.54,144024233067,139
76,CAG,34.04,16441048283,293
77,CAH,54.43,15100607904,183
78,CARR,57.37,50168625610,174
79,CAT,208.09,116069305115,48
80,CB,191.41,82135024641,52
81,CBOE,126.44,13410702604,79
82,CBRE,97.47,32914700993,102
83,CCI,197.86,83209375799,50
84,CCL,23.26,25681798703,429
85,CDNS,168.45,46896118920,59
86,CDW,197.78,27735431263,50
87,CE,151.51,17515201089,66
88,CERN,76.35,23013552178,130
89,CF,50.35,10714072139,198
90,CFG,44.28,19561928952,225
91,CHD,83.71,20823936708,119
92,CHRW,93.34,11999355089,107
93,CHTR,795.59,141073936371,12
94,CI,206.82,73194986706,48
95,CINF,121.26,19217915102,82
96,CL,79.15,66372802201,126
97,CLX,172.34,20825813966,58
98,CMA,76.77,9868515272,130
99,CMCSA,59.0,270220035645,169
